PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Unit Price,Quantity,Discount Pct,Discount Amount,Tax Pct,Tax Amount,Line Total Gross,Line Net,Line Total Inc Tax,Currency,Budget Unit Price,Budget Total,Savings Amount,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-00846,17/12/2022,2022,Q4,December,Emergency,Cancelled,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-70803,Recruitment Agency,HR & Training,Recruitment Agency,EA,2477.13,102,0,0,5,12633.36,252667.26,252667.26,265300.62,GBP,1968.75,200812.5,-51854.76,-25.8,18/01/2023,14/01/2023,-4,Yes,28,Marketing,CC-004,Nathan Young,Lisa Chen,CON-4388,Long-term,07/01/2022,21/09/2024,Disputed,Pending,No Match,No,No,Yes,International,41.6
PO-00847,01/11/2024,2024,Q4,November,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,341.63,117,0,0,5,1998.54,39970.71,39970.71,41969.25,AUD,391.85,45846.45,5875.74,12.8,12/11/2024,07/11/2024,-5,Yes,6,Finance,CC-001,Karen Clark,Lisa Chen,CON-4295,Master Supply,26/12/2023,26/11/2024,Paid,Paid,3-Way Match,No,No,Yes,International,41.4
PO-00848,18/01/2023,2023,Q1,January,Standard,Cancelled,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,169.22,182,10,3079.8,20,5543.65,30798.04,27718.24,33261.89,GBP,127.3,23168.6,-4549.64,-19.6,22/02/2023,20/02/2023,-2,Yes,33,Finance,CC-001,Alice Johnson,James O'Brien,CON-7065,Master Supply,15/01/2023,24/04/2025,Disputed,On Hold,No Match,No,No,Yes,International,41.6
PO-00849,03/06/2022,2022,Q2,June,Emergency,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,193.04,30,0,0,20,1158.24,5791.2,5791.2,6949.44,GBP,227.75,6832.5,1041.3,15.2,15/07/2022,03/08/2022,19,No,61,Finance,CC-001,Karen Clark,Tom Reynolds,CON-5897,Spot,30/06/2021,20/05/2023,Pending,On Hold,3-Way Match,Yes,No,No,International,44.8
PO-00850,25/01/2024,2024,Q1,January,Emergency,Open,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,369.13,44,0,0,5,812.09,16241.72,16241.72,17053.81,GBP,425.31,18713.64,2471.92,13.2,19/02/2024,17/02/2024,-2,Yes,23,Facilities,CC-009,Isla White,Lisa Chen,CON-3662,Spot,12/08/2023,23/09/2024,Overdue,Overdue,No Match,No,Yes,No,International,50.9
PO-00851,03/09/2023,2023,Q3,September,Blanket,Open,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-70803,Recruitment Agency,HR & Training,Recruitment Agency,EA,5560.41,161,0,0,20,179045.2,895226.01,895226.01,1074271.21,EUR,6198.53,997963.33,102737.32,10.3,27/09/2023,22/09/2023,-5,Yes,19,Sales,CC-010,Jack Harris,James O'Brien,CON-1063,Long-term,30/03/2023,28/08/2025,Pending,Pending,No Match,No,No,Yes,International,41.6
PO-00852,10/04/2024,2024,Q2,April,Standard,Open,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-20168,Fire Extinguisher,Facilities,Fire Extinguisher,EA,156.24,78,0,0,5,609.34,12186.72,12186.72,12796.06,USD,168.08,13110.24,923.52,7,18/05/2024,18/05/2024,0,Yes,38,IT,CC-002,Leo Walker,Lisa Chen,CON-9736,Framework,29/09/2023,20/01/2025,Overdue,Pending,No Match,No,No,No,International,63.2
PO-00853,08/12/2022,2022,Q4,December,Emergency,Open,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-41218,Consulting (day),Professional Svcs,Consulting (day),Day,759.33,44,0,0,0,0,33410.52,33410.52,33410.52,GBP,803.16,35339.04,1928.52,5.5,11/01/2023,06/01/2023,-5,Yes,29,Facilities,CC-009,Isla White,Lisa Chen,CON-1296,Master Supply,23/07/2022,19/07/2024,Pending,Pending,No Match,No,No,No,International,63.2
PO-00854,25/01/2023,2023,Q1,January,Blanket,Disputed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-65578,Monitor,IT Hardware,Monitor,EA,367.11,171,5,3138.79,20,11927.4,62775.81,59637.02,71564.42,EUR,341.37,58374.27,-1262.75,-2.2,01/03/2023,28/03/2023,27,No,62,IT,CC-002,Bob Smith,Lisa Chen,NO-CONTRACT,Spot,25/01/2023,24/02/2023,Disputed,On Hold,2-Way Match,No,No,No,International,41.5
PO-00855,27/01/2022,2022,Q1,January,Standard,Open,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-33454,Network Switch,IT Hardware,Network Switch,EA,1707.2,100,5,8536,5,8109.2,170720,162184,170293.2,JPY,1781.33,178133,15949,9,22/03/2022,21/03/2022,-1,Yes,53,Finance,CC-001,Alice Johnson,Priya Sharma,CON-2590,Spot,13/04/2021,24/04/2022,Pending,On Hold,No Match,No,No,Yes,International,52.3
PO-00856,08/07/2024,2024,Q3,July,Standard,Cancelled,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-64827,Print Material,Marketing,Print Material,Box,361.45,136,0,0,5,2457.86,49157.2,49157.2,51615.06,USD,441.69,60069.84,10912.64,18.2,14/07/2024,04/08/2024,21,No,27,Legal,CC-007,Grace Taylor,Priya Sharma,CON-3013,Framework,12/03/2024,12/06/2025,Pending,Pending,No Match,No,No,No,International,63.2
PO-00857,30/03/2022,2022,Q1,March,Standard,Cancelled,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-34514,Packaging Material,Logistics,Packaging Material,Box,64.69,103,5,333.15,5,316.5,6663.07,6329.92,6646.42,JPY,68.44,7049.32,719.4,10.2,28/04/2022,24/05/2022,26,No,55,IT,CC-002,Bob Smith,Priya Sharma,CON-8146,Long-term,19/01/2022,05/06/2023,Disputed,Pending,No Match,No,No,No,International,80.5
PO-00858,17/01/2022,2022,Q1,January,Standard,Open,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,2.48,67,0,0,5,8.31,166.16,166.16,174.47,GBP,3.04,203.68,37.52,18.4,09/02/2022,09/02/2022,0,Yes,23,Sales,CC-010,Jack Harris,Tom Reynolds,CON-6345,Master Supply,29/11/2021,12/10/2024,Pending,Pending,2-Way Match,No,Yes,Yes,International,52.3
PO-00859,08/10/2022,2022,Q4,October,Standard,Open,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-90345,Freight - Air,Logistics,Freight - Air,Shipment,1711.39,180,5,15402.51,20,58529.54,308050.2,292647.69,351177.23,EUR,1767.8,318204,25556.31,8,07/11/2022,03/11/2022,-4,Yes,26,IT,CC-002,Bob Smith,Sarah Mitchell,CON-8738,Master Supply,15/11/2021,07/10/2022,Pending,Pending,2-Way Match,No,No,No,Local,67.8
PO-00860,20/05/2023,2023,Q2,May,Emergency,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,13.31,44,0,0,20,117.13,585.64,585.64,702.77,EUR,14.51,638.44,52.8,8.3,16/06/2023,09/07/2023,23,No,50,IT,CC-002,Bob Smith,James O'Brien,NO-CONTRACT,Spot,20/05/2023,19/06/2023,Paid,Pending,3-Way Match,No,No,No,International,63.2
PO-00861,17/04/2022,2022,Q2,April,Standard,Cancelled,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-65578,Monitor,IT Hardware,Monitor,EA,288.83,24,0,0,5,346.6,6931.92,6931.92,7278.52,GBP,223.16,5355.84,-1576.08,-29.4,09/06/2022,06/06/2022,-3,Yes,50,Operations,CC-003,Maya Hall,Tom Reynolds,NO-CONTRACT,Spot,17/04/2022,17/05/2022,Disputed,Pending,No Match,No,No,No,International,52
PO-00862,01/09/2022,2022,Q3,September,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,71.91,75,5,269.66,20,1024.72,5393.25,5123.59,6148.31,GBP,76.71,5753.25,629.66,10.9,07/10/2022,06/10/2022,-1,Yes,35,Marketing,CC-004,David Lee,Sarah Mitchell,CON-7902,Framework,28/07/2022,28/12/2024,Overdue,Paid,3-Way Match,No,No,No,International,80.5
PO-00863,18/03/2022,2022,Q1,March,Standard,Open,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-37716,Tool Set,Maintenance,Tool Set,EA,421.08,143,0,0,0,0,60214.44,60214.44,60214.44,GBP,475.98,68065.14,7850.7,11.5,23/03/2022,20/03/2022,-3,Yes,2,Operations,CC-003,Clara Davies,Priya Sharma,CON-6135,Master Supply,15/01/2022,12/10/2023,Pending,Pending,2-Way Match,No,No,No,International,63.2
PO-00864,09/04/2023,2023,Q2,April,Standard,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-31531,Spare Parts Kit,Maintenance,Spare Parts Kit,EA,256.6,145,5,1860.35,5,1767.33,37207,35346.65,37113.98,GBP,286.81,41587.45,6240.8,15,02/05/2023,29/04/2023,-3,Yes,20,IT,CC-002,Bob Smith,James O'Brien,CON-7207,Master Supply,10/06/2022,14/03/2025,Disputed,On Hold,2-Way Match,No,No,No,International,41.5
PO-00865,07/10/2022,2022,Q4,October,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,2.07,111,0,0,5,11.49,229.77,229.77,241.26,EUR,2.14,237.54,7.77,3.3,18/11/2022,13/11/2022,-5,Yes,37,Finance,CC-001,Alice Johnson,Lisa Chen,CON-6575,Long-term,13/06/2022,23/07/2024,Overdue,Overdue,3-Way Match,No,No,Yes,International,41.6
PO-00866,14/07/2022,2022,Q3,July,Blanket,Cancelled,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-19122,Medical Supplies,HR & Training,Medical Supplies,Box,146.17,75,10,1096.28,0,0,10962.75,9866.47,9866.47,GBP,170.96,12822,2955.53,23.1,04/09/2022,03/09/2022,-1,Yes,51,Sales,CC-010,Jack Harris,Lisa Chen,CON-7073,Long-term,18/04/2022,11/05/2024,Pending,On Hold,No Match,No,No,No,International,63.2
PO-00867,15/12/2023,2023,Q4,December,Blanket,Cancelled,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-31531,Spare Parts Kit,Maintenance,Spare Parts Kit,EA,1034.72,14,0,0,0,0,14486.08,14486.08,14486.08,EUR,795.5,11137,-3349.08,-30.1,04/02/2024,24/02/2024,20,No,71,Finance,CC-001,Karen Clark,Sarah Mitchell,CON-5902,Master Supply,22/01/2023,04/04/2025,Pending,On Hold,No Match,No,Yes,No,International,55.1
PO-00868,19/12/2024,2024,Q4,December,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-51688,Freight - Road,Logistics,Freight - Road,Shipment,1621.83,53,0,0,0,0,85956.99,85956.99,85956.99,GBP,1849.38,98017.14,12060.15,12.3,26/01/2025,21/01/2025,-5,Yes,33,Marketing,CC-004,David Lee,Sarah Mitchell,NO-CONTRACT,Spot,19/12/2024,18/01/2025,Pending,Overdue,3-Way Match,No,Yes,No,International,80.5
PO-00869,19/05/2023,2023,Q2,May,Emergency,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-31531,Spare Parts Kit,Maintenance,Spare Parts Kit,EA,438.86,87,0,0,0,0,38180.82,38180.82,38180.82,EUR,354.6,30850.2,-7330.62,-23.8,18/07/2023,18/07/2023,0,Yes,60,Operations,CC-003,Clara Davies,Sarah Mitchell,CON-1769,Spot,09/12/2022,05/11/2023,Paid,Paid,3-Way Match,No,No,No,International,44.8
PO-00870,04/10/2023,2023,Q4,October,Blanket,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-33454,Network Switch,IT Hardware,Network Switch,EA,2126.38,192,0,0,20,81652.99,408264.96,408264.96,489917.95,GBP,2324.63,446328.96,38064,8.5,03/11/2023,27/11/2023,24,No,54,IT,CC-002,Bob Smith,Lisa Chen,NO-CONTRACT,Spot,04/10/2023,03/11/2023,Paid,On Hold,2-Way Match,No,No,No,International,63.2
PO-00871,29/08/2024,2024,Q3,August,Standard,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-67907,Warehousing (m²),Logistics,Warehousing (m²),SQM,6.82,186,0,0,20,253.7,1268.52,1268.52,1522.22,EUR,7.05,1311.3,42.78,3.3,25/10/2024,24/10/2024,-1,Yes,56,Facilities,CC-009,Isla White,Sarah Mitchell,NO-CONTRACT,Spot,29/08/2024,28/09/2024,Overdue,Paid,3-Way Match,Yes,No,No,International,52
PO-00872,04/12/2023,2023,Q4,December,Contract,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-21296,Calibration Svc,Maintenance,Calibration Svc,EA,364.51,194,0,0,5,3535.75,70714.94,70714.94,74250.69,EUR,378.41,73411.54,2696.6,3.7,10/01/2024,10/01/2024,0,Yes,37,Marketing,CC-004,David Lee,Tom Reynolds,CON-1988,Framework,18/01/2023,22/06/2024,Disputed,On Hold,3-Way Match,No,No,No,International,41.5
PO-00873,22/01/2024,2024,Q1,January,Emergency,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-53575,Digital Ads,Marketing,Digital Ads,Campaign,886.77,86,5,3813.11,5,3622.46,76262.22,72449.11,76071.57,GBP,953.33,81986.38,9537.27,11.6,07/02/2024,19/02/2024,12,No,28,IT,CC-002,Bob Smith,Sarah Mitchell,CON-5032,Long-term,09/02/2023,27/04/2025,Paid,Paid,3-Way Match,No,No,No,International,80.5
PO-00874,24/07/2024,2024,Q3,July,Standard,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-24456,Equipment Repair,Maintenance,Equipment Repair,EA,1438.93,197,0,0,5,14173.46,283469.21,283469.21,297642.67,JPY,1469.26,289444.22,5975.01,2.1,16/08/2024,12/08/2024,-4,Yes,19,Operations,CC-003,Maya Hall,Priya Sharma,NO-CONTRACT,Spot,24/07/2024,23/08/2024,Pending,Pending,2-Way Match,No,No,No,International,55.1
PO-00875,03/08/2024,2024,Q3,August,Contract,Closed,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-34497,Maintenance Kit,Facilities,Maintenance Kit,EA,260.62,163,10,4248.11,5,1911.65,42481.06,38232.95,40144.6,GBP,315.48,51423.24,13190.29,25.7,31/08/2024,26/08/2024,-5,Yes,23,Facilities,CC-009,Isla White,Lisa Chen,NO-CONTRACT,Spot,03/08/2024,02/09/2024,Paid,Paid,3-Way Match,No,No,Yes,International,77.2
PO-00876,03/10/2022,2022,Q4,October,Contract,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-78958,Project Mgmt Tool,IT Software,Project Mgmt Tool,EA,833.76,174,0,0,0,0,145074.24,145074.24,145074.24,EUR,951.85,165621.9,20547.66,12.4,14/11/2022,11/11/2022,-3,Yes,39,Finance,CC-001,Alice Johnson,Lisa Chen,CON-1735,Long-term,23/01/2022,06/09/2023,Pending,On Hold,3-Way Match,No,No,No,International,63.2
PO-00877,08/01/2022,2022,Q1,January,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-24456,Equipment Repair,Maintenance,Equipment Repair,EA,2361.53,72,10,17003.02,20,30605.43,170030.16,153027.14,183632.57,GBP,2655.54,191198.88,38171.74,20,02/02/2022,06/02/2022,4,No,29,Marketing,CC-004,David Lee,Priya Sharma,CON-8433,Master Supply,02/05/2021,04/03/2022,Overdue,Paid,2-Way Match,No,No,No,International,55.1
PO-00878,03/09/2022,2022,Q3,September,Blanket,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,12083.58,197,5,119023.26,0,0,2380465.26,2261442,2261442,GBP,13173.1,2595100.7,333658.7,12.9,10/10/2022,09/10/2022,-1,Yes,36,R&D,CC-008,Henry Martin,Tom Reynolds,CON-8261,Spot,15/12/2021,26/01/2023,Pending,Pending,2-Way Match,No,No,No,International,41.5
PO-00879,30/05/2023,2023,Q2,May,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,3112.11,29,10,9025.12,5,4061.3,90251.19,81226.07,85287.37,USD,3312.5,96062.5,14836.43,15.4,29/07/2023,27/07/2023,-2,Yes,58,Operations,CC-003,Clara Davies,James O'Brien,NO-CONTRACT,Spot,30/05/2023,29/06/2023,Paid,Paid,2-Way Match,No,No,No,Local,67.8
PO-00880,15/12/2022,2022,Q4,December,Blanket,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,58.71,168,0,0,5,493.16,9863.28,9863.28,10356.44,GBP,61.69,10363.92,500.64,4.8,06/01/2023,01/01/2023,-5,Yes,17,IT,CC-002,Leo Walker,James O'Brien,CON-5458,Framework,01/03/2022,05/04/2023,Paid,Overdue,3-Way Match,No,No,Yes,International,52.3
PO-00881,02/05/2022,2022,Q2,May,Emergency,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,38.89,163,10,633.91,0,0,6339.07,5705.16,5705.16,EUR,34.53,5628.39,-76.77,-1.4,05/06/2022,24/06/2022,19,No,53,Facilities,CC-009,Isla White,James O'Brien,NO-CONTRACT,Spot,02/05/2022,01/06/2022,Paid,On Hold,3-Way Match,No,No,No,Local,67.8
PO-00882,04/02/2024,2024,Q1,February,Standard,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-66613,Aluminium Bar (kg),Raw Materials,Aluminium Bar (kg),KG,4.67,4,0,0,20,3.74,18.68,18.68,22.42,GBP,5.46,21.84,3.16,14.5,06/03/2024,01/03/2024,-5,Yes,26,Sales,CC-010,Jack Harris,Sarah Mitchell,NO-CONTRACT,Spot,04/02/2024,05/03/2024,Paid,Paid,3-Way Match,No,Yes,No,International,44.8
PO-00883,28/03/2024,2024,Q1,March,Standard,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-67289,A4 Paper (Ream),Office Supplies,A4 Paper (Ream),Box,33.69,39,5,65.7,0,0,1313.91,1248.21,1248.21,USD,38.97,1519.83,271.62,17.9,17/04/2024,16/05/2024,29,No,49,IT,CC-002,Leo Walker,Tom Reynolds,NO-CONTRACT,Spot,28/03/2024,27/04/2024,Paid,Paid,3-Way Match,No,No,No,International,52
PO-00884,04/10/2023,2023,Q4,October,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-53575,Digital Ads,Marketing,Digital Ads,Campaign,1114.53,145,15,24241.03,0,0,161606.85,137365.82,137365.82,GBP,1341.52,194520.4,57154.58,29.4,07/11/2023,14/11/2023,7,No,41,Finance,CC-001,Alice Johnson,James O'Brien,NO-CONTRACT,Spot,04/10/2023,03/11/2023,Paid,Overdue,2-Way Match,No,No,Yes,International,41.4
PO-00885,25/08/2024,2024,Q3,August,Blanket,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-62311,Training Course,Professional Svcs,Training Course,EA,856.34,31,0,0,5,1327.33,26546.54,26546.54,27873.87,JPY,935.75,29008.25,2461.71,8.5,18/10/2024,15/10/2024,-3,Yes,51,IT,CC-002,Bob Smith,James O'Brien,NO-CONTRACT,Spot,25/08/2024,24/09/2024,Overdue,On Hold,3-Way Match,Yes,Yes,No,International,52
PO-00886,17/05/2023,2023,Q2,May,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-34497,Maintenance Kit,Facilities,Maintenance Kit,EA,187.94,34,0,0,0,0,6389.96,6389.96,6389.96,GBP,195.71,6654.14,264.18,4,31/05/2023,28/05/2023,-3,Yes,11,Sales,CC-010,Jack Harris,Priya Sharma,CON-3325,Framework,23/07/2022,24/10/2023,Overdue,Overdue,3-Way Match,No,No,No,International,55.1
PO-00887,16/02/2022,2022,Q1,February,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-61428,Audit Service,Professional Svcs,Audit Service,EA,6105.48,58,10,35411.78,5,15935.3,354117.84,318706.06,334641.36,EUR,6801.9,394510.2,75804.14,19.2,31/03/2022,28/03/2022,-3,Yes,40,Finance,CC-001,Karen Clark,Tom Reynolds,NO-CONTRACT,Spot,16/02/2022,18/03/2022,Pending,Pending,3-Way Match,No,No,No,International,55.1
PO-00888,27/09/2022,2022,Q3,September,Standard,Open,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-78958,Project Mgmt Tool,IT Software,Project Mgmt Tool,EA,1155.08,138,0,0,0,0,159401.04,159401.04,159401.04,GBP,1223.54,168848.52,9447.48,5.6,27/10/2022,06/11/2022,10,No,40,Operations,CC-003,Maya Hall,Lisa Chen,CON-5182,Long-term,17/12/2021,27/08/2023,Pending,On Hold,2-Way Match,No,No,Yes,International,41.6
PO-00889,16/02/2024,2024,Q1,February,Contract,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,7729.67,80,0,0,0,0,618373.6,618373.6,618373.6,GBP,8793.04,703443.2,85069.6,12.1,13/04/2024,01/05/2024,18,No,75,Sales,CC-010,Jack Harris,Sarah Mitchell,CON-9039,Spot,05/04/2023,14/02/2026,Paid,Paid,2-Way Match,No,No,No,International,75.7
PO-00890,19/12/2024,2024,Q4,December,Contract,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-65861,HVAC Filter,Facilities,HVAC Filter,EA,106.87,187,0,0,0,0,19984.69,19984.69,19984.69,AUD,128.31,23993.97,4009.28,16.7,10/01/2025,09/01/2025,-1,Yes,21,HR,CC-005,Emma Wilson,James O'Brien,CON-1640,Master Supply,20/10/2024,03/12/2025,Paid,Paid,3-Way Match,No,No,No,International,41.5
PO-00891,20/01/2022,2022,Q1,January,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-65861,HVAC Filter,Facilities,HVAC Filter,EA,115.5,191,0,0,0,0,22060.5,22060.5,22060.5,GBP,127.35,24323.85,2263.35,9.3,07/02/2022,03/02/2022,-4,Yes,14,Finance,CC-001,Alice Johnson,Lisa Chen,CON-5074,Spot,20/01/2021,04/09/2022,Pending,Pending,3-Way Match,No,Yes,No,International,55.1
PO-00892,04/07/2022,2022,Q3,July,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-41218,Consulting (day),Professional Svcs,Consulting (day),Day,425.46,24,0,0,20,2042.21,10211.04,10211.04,12253.25,USD,340.98,8183.52,-2027.52,-24.8,17/07/2022,17/07/2022,0,Yes,13,R&D,CC-008,Henry Martin,Lisa Chen,CON-8533,Framework,18/12/2021,25/06/2022,Pending,Paid,No Match,No,No,Yes,International,41.4
PO-00893,20/05/2024,2024,Q2,May,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-60672,Legal Review,Professional Svcs,Legal Review,EA,970.65,6,10,582.39,20,1048.3,5823.9,5241.51,6289.81,EUR,1105.05,6630.3,1388.79,20.9,09/06/2024,13/06/2024,4,No,24,IT,CC-002,Leo Walker,Tom Reynolds,CON-2351,Framework,27/08/2023,14/08/2026,Paid,Pending,2-Way Match,No,No,No,International,80.5
PO-00894,07/11/2023,2023,Q4,November,Standard,Cancelled,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,43.51,5,0,0,5,10.88,217.55,217.55,228.43,EUR,52.44,262.2,44.65,17,16/11/2023,13/11/2023,-3,Yes,6,Marketing,CC-004,David Lee,Priya Sharma,CON-1491,Long-term,27/05/2023,11/12/2024,Disputed,On Hold,No Match,No,No,No,International,41.5
PO-00895,08/04/2024,2024,Q2,April,Standard,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-13249,Laptop,IT Hardware,Laptop,EA,899.55,36,0,0,20,6476.76,32383.8,32383.8,38860.56,USD,844.52,30402.72,-1981.08,-6.5,28/05/2024,27/05/2024,-1,Yes,49,Facilities,CC-009,Isla White,Tom Reynolds,CON-4645,Long-term,08/06/2023,28/01/2026,Paid,On Hold,3-Way Match,No,No,No,International,55.1
PO-00896,11/12/2023,2023,Q4,December,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-39694,Event Mgmt,Marketing,Event Mgmt,EA,14087.72,35,0,0,5,24653.51,493070.2,493070.2,517723.71,GBP,16434.03,575191.05,82120.85,14.3,04/01/2024,31/12/2023,-4,Yes,20,R&D,CC-008,Henry Martin,Sarah Mitchell,NO-CONTRACT,Spot,11/12/2023,10/01/2024,Pending,On Hold,3-Way Match,No,No,Yes,International,41.4
